="Draft of replication of Regnerus 2012 models"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="Married",="Cohabiting",="Welfare growing up",="Currently on public assistance",="Employed full time",="Unemployed",="Voted",="Thought suicide recently",="Recently or currently in therapy",="Heterosexual 100%",="Current samesex relationship",="Had affair",="Ever STI",="Touched sexually by parent/adult",="Ever forced sex"

="",="(-0.55)",="(0.85)",="(-1.17)",="(-0.21)",="(-0.50)",="(-1.09)",="(2.83)",="(-0.04)",="(-0.83)",="(0.40)",="(-1.34)",="(-0.06)",="(-0.92)",="(0.25)",="(1.20)"

="- Mother BA",="-0.0429",="-0.457",="-0.544*",="-0.702*",="-0.0109",="-0.435",="0.588*",="-0.117",="-0.115",="0.521*",="-1.405",="-1.274***",="-0.641*",="-1.036*",="-0.105"
="",="(-0.18)",="(-1.61)",="(-2.13)",="(-2.49)",="(-0.05)",="(-1.16)",="(2.34)",="(-0.24)",="(-0.41)",="(1.97)",="(-1.81)",="(-3.55)",="(-2.04)",="(-2.47)",="(-0.32)"

="- Mother Advanced",="0.192",="-0.707",="-1.022**",="-0.766",="0.310",="-0.294",="0.687*",="-0.103",="0.353",="0.259",="-0.205",="-0.543",="-0.623",="0.00973",="0.0899"
="",="(0.68)",="(-1.79)",="(-2.91)",="(-1.54)",="(1.11)",="(-0.54)",="(2.46)",="(-0.24)",="(0.93)",="(0.67)",="(-0.26)",="(-1.03)",="(-1.36)",="(0.02)",="(0.20)"

="- Mother DK",="-0.00604",="-0.266",="0.239",="0.671*",="-0.621*",="0.255",="-1.163***",="-0.0718",="-0.0921",="0.220",="-2.488**",="0.171",="0.0197",="0.885*",="1.002**"
="",="(-0.02)",="(-0.70)",="(0.62)",="(2.40)",="(-2.24)",="(0.72)",="(-3.70)",="(-0.15)",="(-0.24)",="(0.52)",="(-3.26)",="(0.43)",="(0.05)",="(2.22)",="(2.62)"

="FOI income (40-75K excluded)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="- $0 to $20K",="-0.718**",="-0.01000",="1.960***",="1.314***",="-0.649*",="0.285",="-0.318",="0.0522",="0.553*",="0.702*",="-0.868",="0.0546",="-0.0783",="0.905**",="-0.166"
="",="(-2.60)",="(-0.03)",="(6.97)",="(4.89)",="(-2.43)",="(0.89)",="(-1.31)",="(0.12)",="(1.97)",="(2.32)",="(-1.05)",="(0.15)",="(-0.24)",="(2.62)",="(-0.52)"

="- $20K to $40K",="-0.00835",="0.140",="1.471***",="0.395",="-0.0773",="0.0893",="-0.286",="-0.0400",="0.215",="-0.114",="-0.831",="0.569",="0.350",="0.649*",="0.109"
="",="(-0.04)",="(0.53)",="(6.68)",="(1.68)",="(-0.40)",="(0.28)",="(-1.40)",="(-0.11)",="(0.83)",="(-0.47)",="(-1.03)",="(1.86)",="(1.35)",="(1.99)",="(0.40)"

="- $75K to 100K",="-0.0383",="0.130",="-0.783",="-0.145",="-0.279",="-0.115",="-0.125",="-0.845",="0.328",="0.227",="0.188",="1.065**",="0.537",="-0.760",="-0.0542"
="",="(-0.15)",="(0.36)",="(-1.85)",="(-0.40)",="(-1.19)",="(-0.25)",="(-0.49)",="(-1.80)",="(0.95)",="(0.62)",="(0.23)",="(2.84)",="(1.50)",="(-1.41)",="(-0.14)"

="- $100K to 150K",="-0.243",="-0.361",="-1.498**",="-1.209**",="-0.000280",="-0.957",="0.179",="-0.854",="-0.511",="0.637",="0.980",="-0.0233",="-0.412",="-0.942",="-0.966"
="",="(-0.84)",="(-0.66)",="(-3.10)",="(-2.68)",="(-0.00)",="(-1.42)",="(0.48)",="(-0.99)",="(-0.98)",="(1.30)",="(0.93)",="(-0.04)",="(-0.95)",="(-0.94)",="(-1.50)"

="- $150Kto 200K",="-0.224",="-0.0481",="-3.903***",="-0.351",="0.0468",="0.357",="0.720",="-1.655",="0.291",="0.224",="-11.31***",="1.258",="0.182",="0.651",="0.508"
="",="(-0.48)",="(-0.07)",="(-3.69)",="(-0.59)",="(0.10)",="(0.50)",="(1.15)",="(-1.54)",="(0.34)",="(0.34)",="(-15.13)",="(1.56)",="(0.25)",="(0.56)",="(0.77)"

="- Above $200K",="-0.600",="0.463",="-0.956",="-0.839",="0.132",="-14.55***",="0.433",="1.013",="0.792",="-0.844",="-0.985",="1.222*",="0.0502",="-0.213",="-0.0706"
="",="(-0.89)",="(0.78)",="(-1.53)",="(-1.21)",="(0.24)",="(-41.07)",="(0.71)",="(1.34)",="(1.36)",="(-1.33)",="(-0.67)",="(2.10)",="(0.09)",="(-0.23)",="(-0.09)"

="- DK/Refuse",="-0.819***",="0.166",="0.490*",="0.438",="-0.551**",="0.597",="-0.457*",="0.213",="-0.0566",="-0.135",="0.523",="0.715*",="-0.0469",="0.101",="-0.210"
="",="(-3.76)",="(0.61)",="(2.05)",="(1.89)",="(-2.87)",="(1.91)",="(-2.22)",="(0.55)",="(-0.21)",="(-0.49)",="(0.80)",="(2.32)",="(-0.17)",="(0.30)",="(-0.74)"

="Bullied",="-0.114",="0.466*",="0.308",="0.158",="-0.0517",="-0.0802",="0.130",="0.891***",="0.397*",="-0.671***",="0.732",="0.338",="0.444*",="0.988***",="0.917***"
="",="(-0.74)",="(2.44)",="(1.64)",="(0.97)",="(-0.36)",="(-0.38)",="(0.88)",="(3.48)",="(2.20)",="(-3.68)",="(1.72)",="(1.60)",="(2.32)",="(4.16)",="(4.66)"

="Constant",="-5.926***",="-1.778***",="-0.644",="-2.230***",="-2.656***",="-0.416",="-3.017***",="-2.829***",="-3.045***",="1.993***",="-3.705**",="-2.893***",="-5.574***",="-6.627***",="-5.799***"
="",="(-13.46)",="(-4.08)",="(-1.44)",="(-4.75)",="(-6.68)",="(-0.66)",="(-7.61)",="(-3.82)",="(-4.98)",="(3.90)",="(-3.20)",="(-3.86)",="(-10.38)",="(-8.58)",="(-9.85)"

="lm",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gd",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
